Session default channel group,Device category,Total Users,Sessions,Engaged sessions,Event count: add_to_cart,Transactions,Purchase revenue
Organic Search,desktop,"5,120","6,050","4,235",880,215,"$18,490.50"
Organic Search,mobile,"7,420","8,830","5,121",915,215,"$13,650.20"
Organic Search,tablet,985,"1,120",705,105,28,"$2,550.00"
Paid Search,desktop,"3,950","4,550","3,321",950,250,"$22,500.00"
Paid Search,mobile,"3,175","3,500","1,995",420,105,"$7,875.00"
Direct,desktop,"4,010","5,550","4,440","1,110",310,"$28,520.00"
Direct,mobile,"2,540","3,400","2,108",425,91,"$7,553.50"
Organic Social,mobile,"4,890","5,230","2,092",210,35,"$2,555.00"
Organic Social,desktop,"1,090","1,220",610,85,18,"$1,440.00"
Paid Social,mobile,"2,800","3,150","1,653",315,65,"$4,940.00"
Paid Social,desktop,950,"1,050",682,125,32,"$2,688.00"
Email,desktop,"1,225","1,670","1,486",417,110,"$10,450.00"
Email,mobile,670,850,680,188,55,"$4,070.00"
